WorkerId, Name, Role, SallaryPerHour, JoinDate, LeftDate, BirthDate, Email
3651,Jonathan Miller,Educator/Guide,94.26,2017-11-15,2021-04-10,1996-08-22,Jonathan-Miller269@gmail.com
3652,Heidi Miller,Educator/Guide,64.15,2016-09-30,2021-02-21,1984-12-10,HeidiMiller579@outlook.com
3653,Joseph Harper,Manager,35.46,2009-06-09,2021-06-23,1982-05-29,Joseph-Harper782@outlook.com
3654,Edward Downs,Curators,39.19,2019-11-17,2020-05-23,1995-07-26,EdwardDowns345@gmail.com
3655,Kristen Clark,Manager,105.08,2003-07-31,2011-06-20,1980-12-03,KristenClark312@gmail.com
3656,Pamela Meza,Cleaner,88.54,2010-05-29,2015-12-09,1976-07-17,Pamela-Meza509@hotmail.com
3657,Justin Rivas,Educator/Guide,101.94,1991-07-20,1994-03-22,1967-08-15,JustinRivas986@walla.com
3658,Brooke Campos,Manager,69.11,2020-02-21,2020-07-06,1976-09-29,Brooke_Campos470@gmail.com
3659,John Conway,Cleaner,30.09,2018-01-27,2019-03-06,1990-09-06,JohnConway615@gmail.com
3660,Katie Jackson,Guard,107.38,1977-05-23,1993-06-20,1954-09-06,Katie-Jackson382@gmail.com
3661,Nicholas Mosley,Cleaner,114.65,2011-12-18,2013-05-30,1984-11-28,NicholasMosley957@hotmail.com
3662,Olivia Murillo,Cleaner,36.31,2010-05-21,2013-03-06,1988-08-06,Olivia_Murillo644@outlook.com
3663,Antonio Vazquez,Conservator,110.03,2022-02-10,2022-05-04,1994-03-30,AntonioVazquez441@gmail.com
3664,Erik Mason,Registrar,50.11,2019-11-11,2021-08-27,1998-07-27,Erik-Mason833@gmail.com
3665,Patricia Edwards,Exhibit Designer,107.30,2015-02-04,2017-02-22,1983-01-08,Patricia_Edwards485@outlook.com
3666,John Mooney,Curators,49.79,1984-04-12,2005-11-03,1963-01-09,JohnMooney588@gmail.com
3667,Corey Clark,Cleaner,92.35,2006-09-13,2010-12-16,1979-10-28,CoreyClark919@hotmail.com
3668,Jose Wilson,Cleaner,82.76,2001-12-17,2012-09-29,1979-02-24,Jose_Wilson250@outlook.com
3669,Shawn Johnson,Archivist,43.22,2002-11-08,2006-05-22,1972-07-26,Shawn-Johnson942@gmail.com
3670,Brandy Johnson PhD,Archivist,56.09,2004-07-23,2020-04-11,1982-04-15,Brandy_Johnson_PhD211@hotmail.com
3671,Lance Crawford,Manager,118.43,2019-03-03,2020-06-24,1994-04-15,LanceCrawford729@outlook.com
3672,Rachel Carter,Guard,33.93,2021-11-24,2021-12-18,1995-11-12,Rachel_Carter589@gmail.com
3673,Phillip Barber,Guard,65.63,2008-08-05,2014-08-30,1960-07-19,Phillip_Barber243@gmail.com
3674,Alexis Mayo,Exhibit Designer,33.67,2010-04-01,2013-08-08,1985-11-28,Alexis-Mayo863@hotmail.com
3675,Frances Mckay,Conservator,104.18,2002-11-18,2018-02-21,1968-05-15,FrancesMckay764@gmail.com
3676,Vincent Jordan,Registrar,115.22,2015-06-05,2020-10-14,1978-05-26,Vincent-Jordan874@hotmail.com
3677,Stephanie Wright,Guard,88.80,2016-07-29,2018-01-17,1969-09-05,Stephanie_Wright94@outlook.com
3678,Amanda Hays,Registrar,46.76,2015-12-13,2021-08-25,1973-11-04,AmandaHays619@outlook.com
3679,Christine Smith,Archivist,114.21,1997-11-26,1998-03-16,1959-07-23,ChristineSmith429@outlook.com
3680,Jessica Sherman,Educator/Guide,67.25,1981-10-27,2019-11-24,1954-01-06,JessicaSherman902@outlook.com
3681,David Serrano,Manager,111.99,2017-02-13,2019-12-28,1972-02-19,David_Serrano367@gmail.com
3682,Heather Rojas,Educator/Guide,34.60,2016-05-24,2020-06-26,1961-12-22,HeatherRojas870@gmail.com
3683,Natalie Perry,Curators,84.45,1993-08-05,2012-06-02,1959-03-30,NataliePerry179@gmail.com
3684,Carly Smith,Archivist,119.30,2021-10-06,2021-12-27,2000-03-25,CarlySmith976@gmail.com
3685,Donna Hood,Archivist,66.80,1996-07-17,1998-03-09,1969-02-16,DonnaHood725@hotmail.com
3686,Ashley Martinez,Registrar,81.95,2013-01-15,2017-12-21,1981-08-14,Ashley_Martinez67@gmail.com
3687,Chad Brooks,Registrar,84.27,1998-11-13,2015-10-03,1967-02-18,Chad_Brooks124@gmail.com
3688,Keith Howard,Archivist,83.13,2017-09-19,2018-11-19,1962-09-21,Keith-Howard105@gmail.com
3689,Joseph Sexton,Guard,51.55,2017-01-25,2017-03-18,1982-05-06,Joseph-Sexton934@gmail.com
3690,Sylvia Lopez,Cleaner,87.51,2022-05-09,2022-05-09,2001-03-30,SylviaLopez107@gmail.com
3691,Cynthia Blake,Educator/Guide,115.43,2004-02-17,2010-09-26,1962-12-30,Cynthia_Blake184@gmail.com
3692,Catherine Ball,Manager,32.49,2018-05-27,2020-07-22,1988-07-30,Catherine-Ball895@gmail.com
3693,William Rice,Educator/Guide,44.92,1983-06-26,2021-04-13,1961-11-09,William-Rice540@outlook.com
3694,Joshua Erickson,Exhibit Designer,119.97,2020-03-11,2021-02-25,1997-03-08,Joshua-Erickson38@gmail.com
3695,Anna Patel,Archivist,47.51,2019-01-24,2019-10-27,1994-07-23,Anna_Patel885@gmail.com
3696,Alejandra Thompson,Guard,87.88,2020-03-08,2021-01-07,1984-02-26,AlejandraThompson885@outlook.com
3697,Matthew Ramos,Cleaner,116.56,2014-07-28,2015-10-05,1991-09-18,MatthewRamos411@gmail.com
3698,Noah Bell,Exhibit Designer,52.71,2013-07-19,2014-05-21,1964-09-16,Noah-Bell905@gmail.com
3699,Alexandra Beck,Exhibit Designer,38.77,2010-12-02,2014-09-13,1973-10-04,Alexandra_Beck375@outlook.com
3700,Robert Buchanan,Conservator,99.68,1977-06-07,1999-11-09,1954-04-23,RobertBuchanan341@outlook.com
3701,Mr. Andrew Stewart,Cleaner,38.55,2016-08-20,2017-07-24,1956-04-05,Mr._Andrew_Stewart986@gmail.com
3702,Jennifer Peterson,Cleaner,57.08,1993-05-15,2013-12-19,1970-05-10,Jennifer_Peterson532@outlook.com
3703,Michael Ellison,Guard,63.43,2021-12-19,2022-03-23,1965-05-03,MichaelEllison810@gmail.com
3704,Christopher Porter,Cleaner,109.48,2007-05-23,2008-07-22,1980-06-12,Christopher-Porter795@hotmail.com
3705,Christina Whitaker,Exhibit Designer,49.31,1983-02-06,2002-02-26,1959-11-21,Christina-Whitaker59@gmail.com
3706,Chad Mcdaniel,Registrar,72.25,2011-07-22,2019-08-07,1981-11-25,Chad_Mcdaniel436@hotmail.com
3707,Timothy Bryant,Curators,116.36,2011-03-23,2012-07-28,1976-10-25,Timothy-Bryant943@gmail.com
3708,Jacob Shah,Exhibit Designer,106.35,1999-07-05,2009-02-23,1968-04-12,Jacob-Shah841@outlook.com
3709,Christine Sharp,Exhibit Designer,43.70,2021-09-19,2022-04-07,1972-09-25,Christine-Sharp277@outlook.com
3710,Jennifer Reed,Manager,110.24,2013-03-28,2018-07-21,1989-12-25,JenniferReed617@hotmail.com
3711,Brianna Jackson,Curators,105.18,2009-01-31,2012-03-28,1969-04-11,Brianna-Jackson386@gmail.com
3712,Rebekah Bush,Exhibit Designer,77.75,2013-11-27,2018-10-03,1975-12-15,RebekahBush837@gmail.com
3713,Kyle Mejia,Registrar,92.80,1999-05-06,2019-01-01,1955-03-22,KyleMejia720@gmail.com
3714,Raven Rivas,Cleaner,82.23,2014-12-08,2019-01-10,1968-04-29,RavenRivas456@hotmail.com
3715,Jodi Brown,Curators,86.43,2010-08-15,2019-11-14,1988-06-13,JodiBrown709@walla.com
3716,Christopher Escobar,Educator/Guide,53.63,1996-04-15,2000-12-24,1967-02-01,Christopher-Escobar95@outlook.com
3717,Sharon Morse,Curators,103.73,2010-12-07,2014-04-25,1960-07-22,SharonMorse536@gmail.com
3718,Stephanie Reyes,Registrar,50.87,2006-05-15,2010-10-27,1953-01-18,StephanieReyes197@gmail.com
3719,Jessica Hodge,Exhibit Designer,83.31,2014-02-10,2016-12-03,1961-06-07,Jessica-Hodge491@gmail.com
3720,Laura Davis,Cleaner,46.32,2008-12-23,2020-09-14,1964-03-25,Laura_Davis954@gmail.com
3721,Savannah Smith,Conservator,70.10,1979-05-28,1991-12-13,1952-12-14,Savannah-Smith748@gmail.com
3722,Olivia Taylor,Registrar,63.84,2017-04-01,2018-07-23,1990-08-25,Olivia_Taylor906@gmail.com
3723,Caitlin Avila,Archivist,87.72,2021-07-02,2021-10-30,1999-06-12,CaitlinAvila262@gmail.com
3724,Frank Hammond,Registrar,102.04,2015-09-11,2022-04-16,1954-08-07,Frank_Hammond978@gmail.com
3725,Randy Weaver,Manager,47.13,1985-08-18,2016-10-26,1956-01-22,Randy-Weaver509@hotmail.com
3726,Rachel Washington,Registrar,41.28,2018-03-03,2018-04-22,1985-10-22,RachelWashington748@gmail.com
3727,Rita Ingram,Exhibit Designer,97.69,1999-06-02,2006-10-17,1978-04-08,RitaIngram766@hotmail.com
3728,Margaret Kerr,Conservator,108.52,2012-03-05,2012-03-29,1953-09-30,Margaret_Kerr969@gmail.com
3729,Stephanie Sanders,Cleaner,90.78,2022-03-01,2022-04-03,1998-06-10,StephanieSanders921@gmail.com
3730,Alyssa Pittman,Guard,40.90,2006-01-25,2013-12-11,1961-08-20,AlyssaPittman801@outlook.com
3731,Sean Monroe,Cleaner,108.71,1979-02-17,2004-03-16,1953-06-21,Sean_Monroe342@gmail.com
3732,Rebecca James,Guard,95.00,2006-04-02,2007-01-24,1972-04-30,RebeccaJames517@gmail.com
3733,Yvonne Ellis,Curators,41.56,2021-07-11,2021-08-13,2000-03-30,Yvonne_Ellis969@hotmail.com
3734,Darin Garcia,Conservator,33.62,2010-02-15,2020-01-03,1967-11-10,Darin-Garcia16@gmail.com
3735,Angel Oneill,Guard,114.42,2009-04-12,2014-07-06,1987-10-28,Angel_Oneill647@gmail.com
3736,Brad Webb,Curators,113.80,2006-02-20,2007-06-28,1970-09-13,Brad_Webb237@gmail.com
3737,Jessica Mills,Guard,49.88,2012-05-16,2017-02-24,1983-09-28,JessicaMills828@hotmail.com
3738,Kenneth Foley,Exhibit Designer,115.35,2018-07-22,2019-02-04,1993-03-24,KennethFoley571@gmail.com
3739,James Williams,Exhibit Designer,82.55,2022-01-14,2022-04-29,1986-04-02,James_Williams62@gmail.com
3740,Taylor Cruz,Registrar,109.03,2020-06-02,2022-02-17,1979-02-06,Taylor-Cruz750@gmail.com
3741,Michael Hernandez,Manager,39.86,2015-08-26,2021-03-06,1992-05-01,MichaelHernandez946@hotmail.com
3742,Trevor Gardner,Manager,57.53,2005-07-09,2006-12-10,1958-08-27,TrevorGardner798@gmail.com
3743,Michelle Gutierrez,Registrar,91.63,2020-10-11,2021-06-26,1983-08-24,Michelle-Gutierrez334@outlook.com
3744,John Gordon,Curators,37.30,2001-03-20,2015-02-01,1954-02-12,John-Gordon529@outlook.com
3745,James King,Cleaner,77.44,2020-02-13,2022-01-30,1987-01-22,JamesKing292@gmail.com
3746,Pamela Payne,Registrar,80.80,2016-04-23,2019-06-21,1993-02-23,PamelaPayne220@hotmail.com
3747,Christy Barnes,Educator/Guide,31.70,1999-08-03,2001-01-11,1958-11-14,Christy-Barnes579@outlook.com
3748,Timothy Dougherty,Archivist,74.72,1995-09-05,2001-05-25,1969-07-17,Timothy-Dougherty72@outlook.com
3749,Jason Castro,Registrar,73.73,2021-08-13,2021-08-22,1957-08-30,JasonCastro710@gmail.com
3750,Ivan Hoffman,Registrar,96.76,1997-06-01,1999-05-01,1961-02-28,Ivan_Hoffman549@gmail.com
3751,William Aguilar,Cleaner,72.87,2020-02-11,2021-08-16,1994-12-08,William_Aguilar167@outlook.com
3752,Charles Ryan,Exhibit Designer,46.68,2016-01-04,2022-01-21,1991-05-17,Charles_Ryan598@walla.com
3753,Lauren Burch,Conservator,49.61,1988-06-09,2018-02-07,1958-07-23,Lauren_Burch698@gmail.com
3754,Megan Johnson,Guard,100.02,2017-09-12,2018-01-26,1992-02-09,MeganJohnson42@gmail.com
3755,Brandon Watkins,Archivist,51.15,2019-02-21,2020-12-18,1957-09-28,Brandon-Watkins779@hotmail.com
3756,Laura Gutierrez,Curators,88.85,2014-08-10,2015-05-25,1972-07-30,Laura_Gutierrez357@gmail.com
3757,Nicole Garcia,Educator/Guide,59.33,2004-12-21,2020-06-04,1977-06-19,NicoleGarcia55@outlook.com
3758,Robert Smith,Archivist,34.58,2020-05-20,2021-09-07,1998-11-24,Robert-Smith297@hotmail.com
3759,Nicole Murray,Archivist,91.83,2022-04-15,2022-05-03,2000-03-10,Nicole-Murray842@outlook.com
3760,James Frazier,Exhibit Designer,91.18,2020-12-01,2021-12-28,1995-01-18,James_Frazier985@gmail.com
3761,Michael Harper,Curators,97.84,2000-02-07,2019-08-14,1973-03-14,Michael_Harper660@gmail.com
3762,Gabriella Reyes,Curators,74.34,1999-01-04,2007-02-20,1976-01-13,Gabriella-Reyes115@hotmail.com
3763,Robert Frank,Manager,111.89,2017-05-14,2019-03-30,1995-11-28,Robert_Frank33@hotmail.com
3764,Mark Hernandez,Archivist,47.99,1990-12-27,2017-06-05,1957-10-05,Mark-Hernandez287@walla.com
3765,Blake Fisher,Manager,72.16,2017-08-20,2021-08-19,1995-05-11,BlakeFisher513@gmail.com
3766,James Booker,Manager,96.53,1994-07-02,2004-11-18,1960-02-18,JamesBooker14@gmail.com
3767,Brooke Bryant,Educator/Guide,54.38,2017-04-10,2018-12-30,1985-01-13,BrookeBryant795@hotmail.com
3768,Rebecca Vasquez DVM,Manager,115.88,2020-01-08,2021-06-05,1979-06-21,RebeccaVasquezDVM430@gmail.com
3769,Kevin Huang,Cleaner,89.43,2019-11-16,2020-11-18,1975-05-12,Kevin_Huang961@outlook.com
3770,Crystal Clark,Guard,63.88,2000-06-13,2013-02-19,1965-12-05,CrystalClark435@gmail.com
3771,Alvin Woods,Manager,114.54,1995-06-08,2016-10-08,1967-07-23,Alvin_Woods292@hotmail.com
3772,Destiny Moore,Educator/Guide,49.86,2010-11-18,2021-11-11,1986-08-19,Destiny-Moore163@outlook.com
3773,Jessica Robbins,Exhibit Designer,38.84,2003-07-31,2016-04-08,1970-12-22,Jessica_Robbins76@gmail.com
3774,Dennis Holmes,Archivist,114.76,1999-12-29,2017-10-08,1959-08-02,DennisHolmes302@gmail.com
3775,Matthew Campbell,Curators,113.44,2011-12-22,2019-04-20,1989-11-26,Matthew-Campbell888@gmail.com
3776,Adrienne York,Guard,70.08,2015-06-20,2021-08-09,1989-06-30,Adrienne_York427@gmail.com
3777,Julian Johnson,Educator/Guide,71.86,2001-04-01,2013-08-11,1956-12-29,JulianJohnson376@outlook.com
3778,Michelle Taylor,Archivist,99.43,2019-11-25,2021-08-15,1975-11-09,Michelle_Taylor697@hotmail.com
3779,Whitney Rodriguez,Curators,79.36,2017-03-21,2020-06-21,1989-04-20,WhitneyRodriguez689@gmail.com
3780,Amy Mora,Exhibit Designer,76.96,2014-05-19,2021-04-15,1984-02-11,Amy_Mora501@gmail.com
3781,Mr. Brandon Gordon,Guard,117.50,1984-06-22,2017-06-15,1959-03-07,Mr._Brandon_Gordon160@gmail.com
3782,John Figueroa,Exhibit Designer,66.28,2002-07-18,2017-05-16,1953-03-18,JohnFigueroa706@gmail.com
3783,Jack Mejia,Curators,57.25,2015-11-27,2017-03-31,1974-02-26,Jack_Mejia621@gmail.com
3784,Nancy Casey,Guard,34.83,2004-03-13,2011-03-17,1982-06-15,NancyCasey502@gmail.com
3785,Monica Berry,Archivist,103.19,2019-08-03,2020-05-10,1997-06-19,Monica_Berry681@outlook.com
3786,Michael Collins,Exhibit Designer,50.90,2019-10-08,2020-02-29,1997-01-16,Michael_Collins4@gmail.com
3787,Bobby Miller,Manager,37.10,1986-12-25,1993-12-19,1952-12-21,BobbyMiller263@hotmail.com
3788,Mary Johnson,Conservator,60.05,2021-05-02,2022-04-13,1983-09-18,Mary-Johnson280@gmail.com
3789,Roy Taylor,Cleaner,64.93,1998-09-25,2004-04-25,1971-01-26,RoyTaylor520@gmail.com
3790,Michelle Reed,Cleaner,112.93,2017-05-15,2019-08-02,1996-04-05,MichelleReed276@gmail.com
3791,Dominic Brooks,Registrar,48.77,2020-04-12,2021-08-22,1978-11-18,Dominic_Brooks680@gmail.com
3792,Sarah Roberts,Archivist,78.71,2006-07-29,2019-02-06,1970-01-15,Sarah-Roberts28@outlook.com
3793,Suzanne Cunningham,Archivist,112.98,2017-08-04,2020-03-03,1995-09-09,Suzanne_Cunningham162@gmail.com
3794,Shawn Gibson,Registrar,98.83,2011-02-21,2011-02-28,1986-07-08,Shawn-Gibson647@gmail.com
3795,Mrs. Brandy Smith,Cleaner,112.84,1999-10-21,2016-02-12,1978-05-04,Mrs.BrandySmith552@gmail.com
3796,Edward Brooks,Guard,42.59,2002-08-18,2014-08-23,1978-04-28,Edward_Brooks278@hotmail.com
3797,Curtis Holmes,Manager,99.48,2012-11-22,2021-02-19,1988-02-12,Curtis_Holmes137@gmail.com
3798,Timothy Atkinson,Cleaner,63.91,2015-09-08,2022-02-16,1986-06-18,TimothyAtkinson253@gmail.com
3799,Christopher Morris,Curators,81.96,2000-04-19,2020-03-21,1964-08-24,Christopher_Morris236@gmail.com
3800,Dr. Michael Gardner,Conservator,87.53,2015-10-13,2017-10-16,1988-06-29,Dr.MichaelGardner971@walla.com
3801,Timothy Beard,Manager,102.38,2009-10-27,2021-03-01,1983-01-19,TimothyBeard960@outlook.com
3802,George Davis,Cleaner,97.20,2020-08-21,2021-07-17,1985-11-02,GeorgeDavis284@outlook.com
3803,Mr. Marc Murphy PhD,Cleaner,69.04,2021-04-06,2022-01-27,1987-11-11,Mr.MarcMurphyPhD926@gmail.com
3804,Paul Nolan,Educator/Guide,68.97,2005-11-30,2008-02-12,1963-05-02,Paul-Nolan143@outlook.com
3805,Nathan Smith,Cleaner,74.34,2012-09-06,2017-06-30,1983-02-13,NathanSmith5@outlook.com
3806,Steven Cox,Curators,60.59,2008-11-16,2019-11-11,1977-12-28,Steven-Cox866@outlook.com
3807,Jennifer Patterson,Guard,85.78,1979-08-20,1996-01-07,1955-11-07,Jennifer_Patterson962@gmail.com
3808,Michael Miller,Educator/Guide,71.65,1991-11-30,1997-02-10,1968-01-08,Michael-Miller570@walla.com
3809,Whitney Harrison,Archivist,43.17,2021-01-10,2021-10-29,1998-04-01,Whitney-Harrison283@gmail.com
3810,Melissa Madden,Guard,84.35,2021-10-27,2022-03-15,1975-05-02,Melissa_Madden78@outlook.com
3811,Alan Clark,Manager,75.06,2020-03-01,2021-06-20,1980-11-01,Alan_Clark165@hotmail.com
3812,Michael Reid,Exhibit Designer,116.87,2017-11-14,2021-05-06,1995-10-10,Michael-Reid752@gmail.com
3813,Megan Kelly,Manager,44.04,2022-02-02,2022-03-17,1998-08-28,Megan-Kelly331@gmail.com
3814,Cassandra House,Cleaner,38.09,2017-10-25,2020-06-26,1962-10-21,Cassandra-House509@gmail.com
3815,Brandon Taylor,Curators,62.02,2016-08-11,2016-10-28,1986-12-07,Brandon_Taylor190@gmail.com
3816,Michelle Hill,Conservator,114.25,2018-09-24,2019-02-28,1983-05-31,Michelle_Hill271@hotmail.com
3817,Amy Harris,Guard,67.03,2013-04-26,2013-05-26,1986-07-27,Amy_Harris885@outlook.com
3818,Veronica Sanders,Registrar,90.13,2014-07-17,2017-09-21,1986-04-02,Veronica-Sanders485@hotmail.com
3819,Misty Perry,Conservator,103.99,2011-03-06,2011-04-23,1986-01-07,Misty-Perry861@gmail.com
3820,Samantha Pitts,Guard,118.34,2018-11-06,2019-11-08,1995-10-02,Samantha_Pitts372@gmail.com
3821,Laura Hicks,Guard,87.96,2020-12-17,2021-02-18,1999-08-19,Laura-Hicks765@outlook.com
3822,Kenneth Smith,Guard,94.27,1984-10-09,2021-12-16,1963-08-15,KennethSmith852@gmail.com
3823,Karen Oconnor MD,Guard,38.66,2007-10-04,2014-06-30,1967-06-07,Karen_Oconnor_MD27@hotmail.com
3824,Timothy Bradley,Curators,87.80,2013-05-15,2014-07-24,1980-03-28,TimothyBradley893@outlook.com
3825,Aaron Fisher,Manager,38.03,2022-03-16,2022-04-27,2001-02-22,Aaron_Fisher846@gmail.com
3826,David Lee,Registrar,83.52,1987-04-18,2003-05-09,1964-11-12,David-Lee299@gmail.com
3827,Karen Thomas,Manager,54.90,2019-07-01,2021-08-20,1996-02-20,KarenThomas476@hotmail.com
3828,Amanda Barnett,Manager,79.54,2017-11-03,2018-02-09,1971-08-29,Amanda_Barnett328@gmail.com
3829,Christina Thomas,Guard,88.94,2016-11-22,2018-08-30,1986-01-26,Christina-Thomas883@gmail.com
3830,Robert Morris,Curators,103.27,2008-01-12,2010-05-14,1959-04-06,RobertMorris160@gmail.com
3831,Lydia Campos,Registrar,88.48,2012-07-07,2014-09-01,1960-01-27,LydiaCampos365@outlook.com
3832,Patrick Smith,Conservator,69.24,1997-01-29,2001-04-15,1955-06-03,Patrick-Smith82@outlook.com
3833,Theresa Gillespie,Registrar,68.41,2002-12-22,2006-04-23,1962-10-21,Theresa_Gillespie957@gmail.com
3834,Russell Howe,Educator/Guide,99.89,2003-05-16,2006-05-13,1968-04-01,Russell_Howe584@gmail.com
3835,Jacob Jones,Educator/Guide,90.96,2012-02-10,2021-09-22,1971-10-30,Jacob_Jones956@outlook.com
3836,Bobby Rodriguez,Guard,111.74,2005-04-22,2020-04-17,1982-12-27,Bobby-Rodriguez660@gmail.com
3837,Zachary Harrell,Manager,37.88,2009-09-23,2015-05-21,1957-11-12,ZacharyHarrell425@gmail.com
3838,Mark Morgan,Conservator,87.73,2018-02-18,2021-09-28,1994-05-29,Mark-Morgan254@walla.com
3839,Melvin Cooper,Registrar,79.59,2006-05-02,2009-07-15,1957-04-16,MelvinCooper872@outlook.com
3840,Sharon Barnett,Manager,32.06,2004-03-19,2014-03-13,1975-10-25,Sharon_Barnett998@gmail.com
3841,Patricia Mack,Curators,66.41,2008-03-19,2013-01-30,1958-07-20,PatriciaMack88@outlook.com
3842,George Jackson,Cleaner,104.93,2014-08-27,2016-07-28,1989-02-07,George_Jackson236@gmail.com
3843,Katrina Hale,Educator/Guide,61.73,2020-03-12,2021-08-10,1959-10-03,Katrina-Hale192@gmail.com
3844,Dawn Collins,Cleaner,31.43,2002-04-19,2020-10-05,1977-08-30,Dawn_Collins7@gmail.com
3845,Jeff Rivera,Curators,111.81,2017-02-22,2018-01-31,1991-10-23,JeffRivera618@hotmail.com
3846,Patricia Meyer,Curators,78.16,2003-09-22,2009-01-05,1982-01-21,PatriciaMeyer334@gmail.com
3847,Theresa Copeland,Guard,47.48,2013-01-13,2019-06-14,1990-06-15,TheresaCopeland439@hotmail.com
3848,Richard Flynn,Guard,102.80,2013-04-26,2017-12-02,1991-08-02,Richard-Flynn332@hotmail.com
3849,Angela Mccoy,Cleaner,113.70,1992-10-19,2022-03-26,1959-07-31,Angela-Mccoy59@gmail.com
3850,Shari Horne,Cleaner,33.01,2012-05-03,2016-10-13,1970-05-04,ShariHorne179@outlook.com
3851,Rebecca Kelly,Registrar,97.02,2021-11-09,2022-01-30,1967-06-02,RebeccaKelly95@gmail.com
3852,Kenneth Garcia,Guard,43.99,2018-02-18,2022-04-05,1971-09-08,Kenneth-Garcia408@hotmail.com
3853,Miranda Ramos,Registrar,100.30,2021-02-14,2022-01-04,1994-10-03,Miranda-Ramos603@gmail.com
3854,Sierra King,Curators,32.31,2020-02-03,2020-03-08,1996-12-30,Sierra_King491@gmail.com
3855,Kaitlyn Mcfarland,Registrar,93.92,2014-05-29,2015-05-30,1983-11-04,KaitlynMcfarland477@gmail.com
3856,Ryan Lucas,Curators,119.32,1996-12-16,2022-02-05,1953-12-05,RyanLucas453@gmail.com
3857,Teresa Hendricks,Registrar,47.05,2017-08-20,2021-03-21,1963-03-18,Teresa_Hendricks297@gmail.com
3858,Alexandra Mitchell,Conservator,76.90,2011-05-03,2015-02-25,1963-03-14,Alexandra-Mitchell626@gmail.com
3859,Michael Marshall,Archivist,59.94,2007-11-02,2016-10-02,1955-02-11,Michael_Marshall12@gmail.com
3860,Janice Shaw,Archivist,41.45,2009-06-22,2014-06-03,1976-07-30,Janice_Shaw287@gmail.com
3861,Joseph Morales,Registrar,39.29,2021-12-12,2022-04-27,1981-01-11,Joseph-Morales644@gmail.com
3862,Jeffrey Robertson,Curators,74.08,2016-07-23,2017-06-20,1993-12-18,Jeffrey_Robertson315@gmail.com
3863,Jacob Hayes,Manager,44.43,2017-08-08,2021-01-14,1973-12-18,JacobHayes874@gmail.com
3864,Stephanie Singleton,Curators,45.24,2021-04-13,2022-02-24,1954-01-07,Stephanie_Singleton419@gmail.com
3865,Jennifer Macdonald,Cleaner,113.51,2004-02-27,2008-09-20,1981-05-30,Jennifer_Macdonald753@hotmail.com
3866,Glen Anderson,Exhibit Designer,79.17,2008-05-03,2015-03-07,1975-09-05,Glen-Anderson385@hotmail.com
3867,Victoria Flowers,Educator/Guide,61.60,1999-12-15,2002-01-30,1960-10-04,VictoriaFlowers353@outlook.com
3868,Jill Zimmerman,Guard,50.94,2000-02-16,2001-05-04,1975-08-28,Jill-Zimmerman891@gmail.com
3869,Travis Brown,Educator/Guide,98.02,2013-03-09,2017-05-15,1979-04-12,TravisBrown923@gmail.com
3870,Jeremy Evans,Registrar,59.91,2005-11-02,2015-07-11,1978-11-12,JeremyEvans393@gmail.com
3871,Sarah Sellers,Guard,108.50,2020-12-25,2021-10-10,1979-01-22,Sarah_Sellers780@outlook.com
3872,Michael Wright,Conservator,77.31,2017-05-28,2018-10-05,1969-01-22,MichaelWright425@hotmail.com
3873,Anna Crawford,Guard,51.26,2020-10-10,2022-03-23,1999-06-09,Anna_Crawford731@outlook.com
3874,Kristy Rogers DVM,Manager,88.08,2022-04-04,2022-04-04,1961-05-09,KristyRogersDVM612@gmail.com
3875,Philip Werner,Curators,35.91,2017-06-11,2018-06-05,1960-05-13,Philip-Werner886@gmail.com
3876,Peggy Lewis,Exhibit Designer,91.56,2002-07-01,2019-04-25,1973-11-17,Peggy-Lewis337@gmail.com
3877,Vanessa Barr,Registrar,39.15,2011-09-14,2018-03-09,1978-12-10,VanessaBarr864@hotmail.com
3878,Stephanie Jenkins,Archivist,100.74,2015-11-20,2018-04-18,1994-03-09,StephanieJenkins921@outlook.com
3879,James Hebert,Educator/Guide,61.36,2009-05-14,2012-10-28,1987-07-15,JamesHebert990@gmail.com
3880,Jonathan Hughes,Educator/Guide,93.49,1992-06-29,2021-05-28,1953-12-30,Jonathan_Hughes831@gmail.com
3881,Denise Bradley,Archivist,64.30,2013-02-05,2013-11-24,1981-10-28,Denise-Bradley174@outlook.com
3882,Mrs. Katherine Santos MD,Registrar,46.96,1985-06-26,1986-02-16,1960-07-28,Mrs.KatherineSantosMD103@gmail.com
3883,Jane Santos,Manager,95.64,1981-11-14,2013-08-15,1956-03-18,Jane-Santos160@gmail.com
3884,Tracy Keith,Conservator,91.80,2012-07-15,2020-05-20,1976-07-06,TracyKeith332@gmail.com
3885,Deborah Gallagher,Curators,98.56,2019-06-12,2019-11-28,1961-07-14,Deborah-Gallagher864@hotmail.com
3886,Scott Conway,Conservator,115.22,1994-02-18,2006-03-04,1967-12-17,Scott-Conway723@gmail.com
3887,Crystal Frey,Conservator,89.32,2005-05-22,2018-01-23,1960-12-03,CrystalFrey126@outlook.com
3888,Candice Osborn,Cleaner,31.61,1988-05-14,1997-01-27,1955-08-02,CandiceOsborn367@hotmail.com
3889,Julia Murphy,Educator/Guide,83.73,2018-12-02,2019-02-22,1991-05-31,Julia-Murphy371@gmail.com
3890,Elizabeth Valentine,Archivist,48.61,2009-03-10,2020-05-26,1963-08-31,ElizabethValentine769@gmail.com
